@relation 'weka_v3-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Remove-V-R1-13,339'

@attribute lowLevel.barkbands.stdev.17 numeric
@attribute tonal.key_key {E,F,G#,C#,D,G,A,B,C,F#,D#,A#}
@attribute lowLevel.sccoeffs.stdev.5 numeric
@attribute lowLevel.scvalleys.stdev.3 numeric
@attribute lowLevel.barkbands.stdev.19 numeric
@attribute lowLevel.scvalleys.stdev.4 numeric
@attribute lowLevel.spectral_complexity.stdev numeric
@attribute lowLevel.spectral_spread.stdev numeric
@attribute lowLevel.barkbands.mean.17 numeric
@attribute tonal.chords_key {C,F,E,D,A,G,C#,B,A#,G#,D#}
@attribute tonal.chords_histogram.19 numeric
@attribute tonal.chords_scale {major,minor}
@attribute tonal.key_scale {minor,major}
@attribute Performance_Level.0 {low,high,mid}

@data
0.000031,C#,0.018904,0.664507,0.00005,0.469485,3.385911,6278557,0.00002,C#,0,major,major,high
0.000041,C#,0.020505,0.721196,0.000043,0.648863,2.880331,6348622.5,0.000017,C#,0,minor,major,high
0.000141,D,0.032792,0.814164,0.000383,0.763952,6.688543,6276872,0.000085,D,0,minor,major,mid
0.000006,C,0.01877,0.584755,0.000011,0.329495,2.551766,5545815,0.000006,B,0,minor,minor,low
0.000016,G,0.017864,0.567636,0.000029,0.236306,2.721017,5355777.5,0.000016,G,0,major,minor,low
0.00001,A,0.019674,0.700575,0.000032,0.510481,3.281358,6552946,0.000012,F,0,major,major,low
0.000009,A#,0.015408,0.462268,0.000031,0.222817,2.28214,5882924.5,0.000013,A#,0,major,major,low
0.000092,E,0.032803,0.837619,0.000246,0.7852,4.813977,5070321,0.000035,C,0,major,minor,mid
0.00001,A,0.018961,0.515714,0.000037,0.2189,3.172914,5385028,0.000016,A,0,minor,minor,low
0.000015,F,0.02052,0.457887,0.000058,0.258287,3.941764,5761541,0.000019,A,0,minor,major,low
