@relation 'weka_v3-weka.filters.unsupervised.attribute.Remove-V-R12,39,41,110,120-121,160,207,297,1'

@attribute lowLevel.barkbands.mean.17 numeric
@attribute lowLevel.barkbands.stdev.17 numeric
@attribute lowLevel.barkbands.stdev.19 numeric
@attribute lowLevel.sccoeffs.stdev.5 numeric
@attribute lowLevel.scvalleys.stdev.3 numeric
@attribute lowLevel.scvalleys.stdev.4 numeric
@attribute lowLevel.spectral_spread.stdev numeric
@attribute tonal.chords_histogram.19 numeric
@attribute tonal.key_key {E,F,G#,C#,D,G,A,B,C,F#,D#,A#}
@attribute Performance_Level.0 {low,high,mid}

@data
0.000012,0.000016,0.000045,0.019797,0.493471,0.327956,6443344,0,F#,low
0.000011,0.000013,0.000035,0.018924,0.431142,0.307782,7997787.5,0,D,low
0.000018,0.000019,0.000051,0.018117,0.52146,0.273006,6347160,0,G,low
0.000024,0.000025,0.000057,0.017609,0.721123,0.386216,7549941,0,C,low
0.000022,0.000021,0.000054,0.019012,0.514156,0.286304,6339696,0,G,low
0.000078,0.000147,0.000224,0.024376,0.495685,0.49508,7179939.5,0,F,high
0.000064,0.000155,0.000215,0.020707,0.547802,0.450734,7708955.5,0,A,mid
0.000021,0.000036,0.000086,0.019574,0.599737,0.491064,7048075,0,F,mid
0.000015,0.000014,0.000035,0.016786,0.534298,0.389008,6548838.5,0,A,low
0.00003,0.000027,0.000043,0.017573,0.514726,0.311035,7210432,0,A,low
0.000078,0.000099,0.000255,0.019638,0.476902,0.425435,6606313.5,0,G,low
0.000005,0.000011,0.000018,0.019332,0.694389,0.665896,5156136,0,E,low
0.000013,0.000013,0.000036,0.018046,0.481273,0.333027,6016875,0,A#,low
0.000043,0.000062,0.000134,0.023267,0.664771,0.512627,5692052.5,0,G,low
0.000015,0.000023,0.000062,0.020513,0.752704,0.604264,9802458,57.407406,D#,mid
0.000011,0.000019,0.000053,0.02598,0.834282,1.08382,11279377,0,C#,high
0.000015,0.000022,0.000077,0.022343,0.650517,0.587385,5383768,0,B,low
0.000007,0.000013,0.000012,0.015662,0.562399,0.346052,6034049.5,0,A,low
0.000031,0.000067,0.000286,0.019248,0.559381,0.42781,3692280.25,21.428572,D,mid
0.000012,0.000016,0.000057,0.020894,0.597771,0.396499,6497122,0,G,mid
0.000029,0.00006,0.000138,0.022443,0.430031,0.516178,7926372,0,D#,low
0.000024,0.000038,0.000092,0.018608,0.496273,0.50884,6608258,0,G#,low
0.000005,0.000008,0.000032,0.021046,0.571479,0.510786,7864511,0,C,low
0.000013,0.000028,0.000066,0.023545,0.698295,0.580883,6607261,0,D#,low
0.000007,0.000014,0.000039,0.020333,0.700906,0.600066,8089065.5,0,A#,low
0.000005,0.000006,0.000023,0.022997,0.536945,0.494988,6235376,0,D,low
0.000013,0.000012,0.000079,0.017968,0.432259,0.385086,7954873,0,D#,low
0.000008,0.000017,0.000053,0.018903,0.494601,0.440402,7168566.5,0,A,low
0.000027,0.000023,0.000108,0.017176,0.358958,0.287954,4411918,0,C,low
0.000021,0.000021,0.00009,0.020596,0.477732,0.343447,7260934,0,C,low
0.000015,0.000028,0.000078,0.016907,0.326693,0.363259,6251037,0,G#,low
0.000032,0.000039,0.00015,0.017396,0.506651,0.498171,7915508,0,F,low
0.000016,0.000015,0.000046,0.015696,0.369288,0.252498,3966291.75,0,D#,low
0.000014,0.000016,0.000079,0.016801,0.596049,0.281833,2983477.75,0,D#,low
0.000007,0.000007,0.000036,0.016323,0.325363,0.316851,3958700.75,0,D,mid
0.000012,0.00002,0.000059,0.021071,0.491672,0.394754,4356970,0,F,mid
0.000013,0.000017,0.000062,0.015623,0.477361,0.344869,7370400,0,C,mid
0.000024,0.000049,0.000251,0.023937,0.423803,0.427051,4358376,0,F,mid
0.000023,0.000072,0.000121,0.025305,0.750854,0.580696,5985331,0,D#,mid
